"date","open","high","close","volume"
2010-01-04,313.789000,315.070000,313.689000,3908400.000000
2010-01-05,313.904000,314.234000,312.307000,6003300.000000
2010-01-06,313.243000,313.243000,304.434000,7949400.000000
2010-01-07,305.005000,305.305000,297.347000,12815700.000000
2010-01-08,296.296000,301.927000,301.311000,9439100.000000
2010-01-11,302.533000,302.533000,300.856000,14411300.000000
2010-01-12,299.124000,299.379000,295.536000,9696800.000000
2010-01-13,288.534000,294.484000,293.839000,12980200.000000
2010-01-14,292.242000,297.397000,295.220000,8471700.000000
2010-01-15,296.967000,297.077000,290.290000,10858100.000000
2010-01-19,290.891000,295.505000,294.104000,8624700.000000
2010-01-20,293.283000,293.283000,290.495000,6494800.000000
2010-01-21,292.012000,293.704000,291.782000,12602700.000000
2010-01-22,282.533000,285.586000,275.280000,13587100.000000
2010-01-25,273.569000,275.215000,270.270000,8830900.000000
2010-01-26,269.254000,275.075000,271.481000,8702200.000000
2010-01-27,270.906000,274.099000,271.321000,7920800.000000
2010-01-28,272.518000,273.774000,267.412000,6451700.000000
2010-01-29,269.515000,270.766000,265.235000,8272700.000000
2010-02-01,267.568000,268.173000,266.777000,4497000.000000
2010-02-02,267.748000,267.748000,265.826000,8184200.000000
2010-02-03,264.600000,271.321000,270.681000,5992200.000000
2010-02-04,268.769000,269.269000,263.654000,6748600.000000
2010-02-05,264.464000,267.017000,265.911000,6305600.000000
2010-02-08,266.517000,271.271000,267.002000,5383200.000000
2010-02-09,270.040000,271.036000,268.488000,5633500.000000
2010-02-10,267.302000,269.164000,267.492000,5343600.000000
2010-02-11,266.927000,270.516000,268.468000,4815100.000000
2010-02-12,266.752000,268.844000,266.827000,4554800.000000
2010-02-16,268.704000,272.337000,270.921000,7301400.000000
2010-02-17,271.271000,271.972000,269.374000,4055300.000000
2010-02-18,269.039000,272.778000,271.882000,4669100.000000
2010-02-19,270.536000,272.287000,270.651000,5101000.000000
2010-02-22,273.949000,274.024000,271.672000,4284900.000000
2010-02-23,271.772000,272.087000,267.803000,5739400.000000
2010-02-24,267.257000,269.490000,266.001000,4648500.000000
2010-02-25,263.824000,264.510000,263.478000,6611700.000000
2010-02-26,263.974000,266.141000,263.664000,4094500.000000
2010-03-01,264.865000,266.912000,266.612000,4471300.000000
2010-03-02,268.008000,273.103000,270.801000,8704800.000000
2010-03-03,271.451000,274.334000,272.933000,6172600.000000
2010-03-04,273.524000,278.343000,277.573000,6361200.000000
2010-03-05,280.956000,284.119000,282.387000,7816500.000000
2010-03-08,282.673000,282.873000,281.522000,4768000.000000
2010-03-09,280.205000,282.613000,280.375000,6346800.000000
2010-03-10,282.162000,289.540000,288.514000,11298400.000000
2010-03-11,287.417000,293.398000,290.861000,8458100.000000
2010-03-12,294.364000,294.434000,290.060000,5501200.000000
2010-03-15,283.624000,285.010000,281.872000,9298400.000000
2010-03-16,281.196000,284.495000,282.883000,6856100.000000
2010-03-17,284.434000,286.011000,283.063000,6636500.000000
2010-03-18,282.643000,284.505000,283.483000,3550800.000000
2010-03-19,280.280000,284.284000,280.280000,9578800.000000
2010-03-22,278.333000,283.709000,279.029000,8001500.000000
2010-03-23,278.799000,279.434000,274.775000,10991500.000000
2010-03-24,273.028000,280.205000,278.944000,13117200.000000
2010-03-25,279.790000,286.286000,281.722000,7853900.000000
2010-03-26,282.918000,283.979000,281.627000,5387000.000000
2010-03-29,281.782000,282.643000,281.507000,6202700.000000
