"date","open","high","close","volume"
2010-01-04,136.250000,136.610000,133.900000,7599900.000000
2010-01-05,133.430000,135.479000,134.690000,8851900.000000
2010-01-06,134.600000,134.730000,132.250000,7178800.000000
2010-01-07,132.010000,132.320000,130.000000,11030200.000000
2010-01-08,130.560000,133.680000,133.520000,9830500.000000
2010-01-11,132.620000,132.800000,130.308000,8779400.000000
2010-01-12,128.990000,129.820000,127.350000,9096300.000000
2010-01-13,127.902000,129.710000,129.110000,10723200.000000
2010-01-14,129.140000,130.380000,127.350000,9774900.000000
2010-01-15,129.180000,129.650000,127.140000,15376500.000000
2010-01-19,126.200000,128.000000,127.610000,8892600.000000
2010-01-20,127.130000,129.200000,125.780000,9074700.000000
2010-01-21,127.260000,128.150000,126.620000,9970600.000000
2010-01-22,125.600000,127.670000,121.430000,11568900.000000
2010-01-25,122.100000,122.280000,120.310000,12023900.000000
2010-01-26,120.560000,122.980000,119.480000,9559000.000000
2010-01-27,121.030000,123.330000,122.750000,14765300.000000
2010-01-28,124.430000,127.200000,126.030000,27293100.000000
2010-01-29,129.770000,131.850000,125.410000,29471300.000000
2010-02-01,123.180000,124.860000,118.870000,37774400.000000
2010-02-02,118.790000,118.980000,118.120000,23079700.000000
2010-02-03,117.120000,119.610000,119.100000,12405900.000000
2010-02-04,118.640000,120.330000,115.940000,12784000.000000
2010-02-05,115.880000,117.650000,117.390000,11024800.000000
2010-02-08,119.375000,121.000000,116.830000,9890200.000000
2010-02-09,118.200000,119.090000,118.030000,9223000.000000
2010-02-10,118.000000,118.610000,117.360000,6233200.000000
2010-02-11,117.210000,120.420000,120.090000,8343500.000000
2010-02-12,118.990000,119.940000,119.660000,8073500.000000
2010-02-16,120.060000,120.500000,117.530000,8932700.000000
2010-02-17,117.075000,117.130000,116.310000,8944800.000000
2010-02-18,115.839000,118.510000,118.080000,9800100.000000
2010-02-19,117.910000,119.090000,117.520000,7115600.000000
2010-02-22,117.370000,118.970000,118.010000,6807300.000000
2010-02-23,118.010000,119.250000,117.240000,7068200.000000
2010-02-24,117.960000,119.800000,119.720000,7389900.000000
2010-02-25,118.170000,118.340000,118.200000,9533400.000000
2010-02-26,117.880000,119.430000,118.400000,5721600.000000
2010-03-01,118.850000,124.660000,124.540000,13296500.000000
2010-03-02,125.010000,127.350000,125.530000,12097500.000000
2010-03-03,125.400000,126.940000,125.890000,6440400.000000
2010-03-04,125.960000,128.850000,128.530000,7509700.000000
2010-03-05,129.130000,129.450000,128.910000,6769300.000000
2010-03-08,128.300000,130.850000,130.110000,5605900.000000
2010-03-09,129.590000,130.810000,128.820000,6070800.000000
2010-03-10,129.110000,131.170000,130.510000,5625700.000000
2010-03-11,130.450000,133.620000,133.580000,7240800.000000
2010-03-12,134.200000,134.200000,131.820000,6150800.000000
2010-03-15,131.700000,132.000000,131.130000,6329200.000000
2010-03-16,131.240000,132.290000,131.790000,4132500.000000
2010-03-17,132.410000,132.694000,131.340000,4358800.000000
